name,language,id,bio,version
Brais Verdiñas,Galician,BT407GHCC0IHXCD3,"Quisque maximus sodales mauris ut elementum. Ut viverra quis eros eu tincidunt. Sed eu libero maximus nunc lacinia lobortis et sit amet nisi. In id elit malesuada, pulvinar mi eu, imperdiet nulla. Curabitur quis commodo quam.",5.01
Ekber Sadir,Uyghur,AGZDAP8D8OVRRLTY,"Quisque efficitur vel sapien ut imperdiet. Phasellus massa ligula, hendrerit eget efficitur eget, tincidunt in ligula. In id elit malesuada, pulvinar mi eu, imperdiet nulla. Sed nec suscipit ligula. Integer vehicula, arcu sit amet egestas efficitur, orci justo interdum massa, eget ullamcorper risus ligula tristique libero.",2.04
Doreen Bartolo,Maltese,59QSX02O2XOZGRLH,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Etiam consequat enim lorem, at tincidunt velit ultricies et. Nam semper gravida nunc, sit amet elementum ipsum. Ut viverra quis eros eu tincidunt. Curabitur sed condimentum felis, ut luctus eros.",9.31
Ali Ayaz,Sindhi,3WNLUZ5LT2F7MYVU,"Cras dictum dolor lacinia lectus vehicula rutrum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Etiam consequat enim lorem, at tincidunt velit ultricies et. Etiam malesuada blandit erat, nec ultricies leo maximus sed.",7.8
Guzelnur Polat,Uyghur,I6QQHAEGV4CYDXLP,"Nam laoreet, nunc non suscipit interdum, justo turpis vestibulum massa, non vulputate ex urna at purus. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Etiam consequat enim lorem, at tincidunt velit ultricies et. Nulla finibus massa at viverra facilisis.",8.56
John Falzon,Maltese,U3AWXHDTSU0H82SL,"Sed nec suscipit ligula. Nullam sodales convallis mauris, sit amet lobortis magna auctor sit amet.",9.96
Erkin Qadir,Uyghur,GV6TA1AATZYBJ3VR,"Phasellus massa ligula, hendrerit eget efficitur eget, tincidunt in ligula. .",3.53
Anita Rajput,Sindhi,XLLVD0NO2ZFEP4AK,"Nam semper gravida nunc, sit amet elementum ipsum. Etiam congue dignissim volutpat.",5.16
Ayesha Khalique,Sindhi,Q9A5QNGA0OSU8P6Y,"Morbi vitae nisi lacinia, laoreet lorem nec, egestas orci. Etiam mauris magna, fermentum vitae aliquet eu, cursus vitae sapien.",3.9
Pheladi Rammala,Sesotho sa Leboa,EELSIRT2T4Q0M3M4,"Quisque efficitur vel sapien ut imperdiet. Morbi ac tellus erat. Aliquam scelerisque pretium tellus, sed accumsan est ultrices id. Ut maximus, libero nec facilisis fringilla, ex sem sollicitudin leo, non congue tortor ligula in eros.",1.88
Antón Caneiro,Galician,ENTAPNU3MMFUGM1W,"Integer vehicula, arcu sit amet egestas efficitur, orci justo interdum massa, eget ullamcorper risus ligula tristique libero. Vestibulum pharetra libero et velit gravida euismod.",4.84
Qahar Abdulla,Uyghur,OGLODUPEHKEW0K83,"Duis commodo orci ut dolor iaculis facilisis. Aliquam sollicitudin ante ligula, eget malesuada nibh efficitur et. Fusce congue aliquam elit ut luctus. Integer vehicula, arcu sit amet egestas efficitur, orci justo interdum massa, eget ullamcorper risus ligula tristique libero. Quisque maximus sodales mauris ut elementum.",3.65
Reyhan Murat,Uyghur,Y91F4D54794E9ANT,"Suspendisse sit amet ullamcorper sem. Curabitur sed condimentum felis, ut luctus eros.",2.69
Tatapi Phogole,Sesotho sa Leboa,7JA42P5CMCWDVPNR,"Duis luctus, lacus eu aliquet convallis, purus elit malesuada ex, vitae rutrum ipsum dui ut magna. Nullam ac sodales dolor, eu facilisis dui. Ut viverra quis eros eu tincidunt.",3.78
Marcos Amboade,Galician,WPX7H97C7D70CZJR,"Nulla finibus massa at viverra facilisis. Pellentesque massa sem, scelerisque sit amet odio id, cursus tempor urna. Curabitur ultricies id urna nec ultrices. Ut maximus, libero nec facilisis fringilla, ex sem sollicitudin leo, non congue tortor ligula in eros. Nunc aliquet sodales nunc a pulvinar.",7.37
Grace Tabone,Maltese,K4XO8G8DMRNSHF2B,"Curabitur sed condimentum felis, ut luctus eros. Duis luctus, lacus eu aliquet convallis, purus elit malesuada ex, vitae rutrum ipsum dui ut magna.",5.36
Shafqat Memon,Sindhi,D8VFLVRXBXMVBRVI,"Aliquam scelerisque pretium tellus, sed accumsan est ultrices id. . Curabitur quis commodo quam. Quisque maximus sodales mauris ut elementum. Quisque mauris ligula, efficitur porttitor sodales ac, lacinia non ex.",8.95
Zeynep Semet,Uyghur,Z324TZV8S0FGDSAO,"Quisque mauris ligula, efficitur porttitor sodales ac, lacinia non ex. Fusce eu ultrices elit, vel posuere neque. Nulla finibus massa at viverra facilisis.",1.03
Meladi Papo,Sesotho sa Leboa,RJAZQ6BBLRT72CD9,"Quisque efficitur vel sapien ut imperdiet. Pellentesque massa sem, scelerisque sit amet odio id, cursus tempor urna. Ut accumsan, est vel fringilla varius, purus augue blandit nisl, eu rhoncus ligula purus vel dolor. Etiam congue dignissim volutpat. Donec congue sapien vel euismod interdum.",7.22
Semet Alim,Uyghur,HI7L2SR4RCS8C8CS,"Duis commodo orci ut dolor iaculis facilisis. Ut viverra quis eros eu tincidunt. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",1.01
Sabela Veloso,Galician,QA55WXDLC7SRH97X,Duis commodo orci ut dolor iaculis facilisis. Suspendisse potenti. Cras dictum dolor lacinia lectus vehicula rutrum.,7.32
Madule Ledimo,Sesotho sa Leboa,IHJN2DGJB5O1Y00D,"Maecenas non arcu nulla. Aliquam scelerisque pretium tellus, sed accumsan est ultrices id.",7.47
Michelle Caruana,Maltese,EG1I21R75IV9Q0Q8,"Nam tristique feugiat est vitae mollis. Morbi ultricies consequat ligula posuere eleifend. Pellentesque massa sem, scelerisque sit amet odio id, cursus tempor urna.",4.95
Philip Camilleri,Maltese,FCO0URUHARX5FDFW,"Quisque efficitur vel sapien ut imperdiet. Suspendisse sit amet ullamcorper sem. Aliquam scelerisque pretium tellus, sed accumsan est ultrices id. . Aenean finibus in tortor vel aliquet.",9.97
Olalla Romeu,Galician,WOCMVO6CYPG01ZHY,"Maecenas tempus neque ut porttitor malesuada. Sed nec suscipit ligula. Morbi vitae nisi lacinia, laoreet lorem nec, egestas orci. Nullam sodales convallis mauris, sit amet lobortis magna auctor sit amet.",1.98
Gulnur Perhat,Uyghur,VO3M22TTQMBA2XEM,"Nullam ac sodales dolor, eu facilisis dui. Etiam mauris magna, fermentum vitae aliquet eu, cursus vitae sapien. Ut accumsan, est vel fringilla varius, purus augue blandit nisl, eu rhoncus ligula purus vel dolor. Maecenas quis nisi nunc. Duis pellentesque ultrices convallis.",5.03
Hunadi Makgatho,Sesotho sa Leboa,MRJDOV2MU7PTCDXE,"Phasellus tincidunt sollicitudin posuere. Maecenas quis nisi nunc. Duis luctus, lacus eu aliquet convallis, purus elit malesuada ex, vitae rutrum ipsum dui ut magna.",8.18
Charmaine Abela,Maltese,F6FJP1QDJL944X4Z,Nam rutrum sollicitudin ante tempus consequat. Suspendisse sit amet ullamcorper sem. Morbi ac tellus erat. Sed nec suscipit ligula.,6.95
Tumelò Letamo,Sesotho sa Leboa,F8BL9NPIKV0OWO1X,"Aliquam sollicitudin ante ligula, eget malesuada nibh efficitur et. Etiam congue dignissim volutpat. Sed nec suscipit ligula. Nullam sodales convallis mauris, sit amet lobortis magna auctor sit amet.",7.17
Aneela Mohan,Sindhi,CRYN52CXKNJU0YXU,"Sed nec suscipit ligula. Phasellus massa ligula, hendrerit eget efficitur eget, tincidunt in ligula. Maecenas tempus neque ut porttitor malesuada.",4.45
Koketšo Montjane,Sesotho sa Leboa,0TTAMXC9TENQCA2O,"Curabitur sed condimentum felis, ut luctus eros. Aliquam sollicitudin ante ligula, eget malesuada nibh efficitur et. Etiam mauris magna, fermentum vitae aliquet eu, cursus vitae sapien. Ut maximus, libero nec facilisis fringilla, ex sem sollicitudin leo, non congue tortor ligula in eros.",3.61
Tegra Núnez,Galician,NC1ZUV6B853BZZCW,"Maecenas tempus neque ut porttitor malesuada. Pellentesque massa sem, scelerisque sit amet odio id, cursus tempor urna.",6.68
Dilnur Qeyser,Uyghur,JVQ8RQ4YRPGLFMR8,"Maecenas non arcu nulla. Nulla finibus massa at viverra facilisis. Integer vehicula, arcu sit amet egestas efficitur, orci justo interdum massa, eget ullamcorper risus ligula tristique libero. Ut maximus, libero nec facilisis fringilla, ex sem sollicitudin leo, non congue tortor ligula in eros.",7.93
Tania Agius,Maltese,WTDGKLDWJLR1BJKR,"Etiam congue dignissim volutpat. Pellentesque massa sem, scelerisque sit amet odio id, cursus tempor urna.",4.78
Iago Peirallo,Galician,D51G7XQTX2SPHR52,"Aliquam sollicitudin ante ligula, eget malesuada nibh efficitur et. Donec congue sapien vel euismod interdum. Suspendisse potenti. Quisque maximus sodales mauris ut elementum. Quisque maximus sodales mauris ut elementum.",6.3
Mpho Lamola,Sesotho sa Leboa,UGL8EOTXYBW1ILLW,"In id elit malesuada, pulvinar mi eu, imperdiet nulla. Curabitur ultricies id urna nec ultrices. Maecenas tempus neque ut porttitor malesuada. In sed ultricies lorem. Nullam sodales convallis mauris, sit amet lobortis magna auctor sit amet.",2.05
Josephine Balzan,Maltese,4OLTG6QD0A2VB432,"Maecenas tempus neque ut porttitor malesuada. Sed eu libero maximus nunc lacinia lobortis et sit amet nisi. Maecenas non arcu nulla. Ut accumsan, est vel fringilla varius, purus augue blandit nisl, eu rhoncus ligula purus vel dolor. Curabitur quis commodo quam.",7.64
Thabò Motongwane,Sesotho sa Leboa,NROE4ZZVGKZGDFNO,"Donec pellentesque ultrices mi, non consectetur eros luctus non. Suspendisse potenti. Suspendisse potenti.",2.07
Mmathabò Mojapelo,Sesotho sa Leboa,VXJDXYPV5L300IFW,"Sed laoreet posuere sapien, ut feugiat nibh gravida at. Duis luctus, lacus eu aliquet convallis, purus elit malesuada ex, vitae rutrum ipsum dui ut magna. Nunc tincidunt laoreet laoreet. .",9.36
Kgabo Lerumo,Sesotho sa Leboa,D63WWKQE2R4TFDIL,Vestibulum pharetra libero et velit gravida euismod. Maecenas tempus neque ut porttitor malesuada. Morbi ultricies consequat ligula posuere eleifend. Quisque efficitur vel sapien ut imperdiet. Nam rutrum sollicitudin ante tempus consequat.,6.69
Lawrence Scicluna,Maltese,0KDA7XKZNNZWL2SR,"Donec pellentesque ultrices mi, non consectetur eros luctus non. In id elit malesuada, pulvinar mi eu, imperdiet nulla. Aliquam sollicitudin ante ligula, eget malesuada nibh efficitur et.",6.53
Iria Xamardo,Galician,ULUDKBP9PHBGHX2J,"Vivamus id faucibus velit, id posuere leo. Sed eu libero maximus nunc lacinia lobortis et sit amet nisi. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Etiam malesuada blandit erat, nec ultricies leo maximus sed. Ut viverra quis eros eu tincidunt.",3.42
Joseph Grech,Maltese,T4P1164RJBJ8S6XD,"Aliquam scelerisque pretium tellus, sed accumsan est ultrices id. Donec lobortis eleifend condimentum.",7.68
Napogadi Selepe,Sesotho sa Leboa,AJK91MKRFIHAQHHG,Quisque maximus sodales mauris ut elementum. Maecenas quis nisi nunc.,4.95
Lesetja Theko,Sesotho sa Leboa,AATM20BURO1DHDAE,"Phasellus massa ligula, hendrerit eget efficitur eget, tincidunt in ligula. Etiam mauris magna, fermentum vitae aliquet eu, cursus vitae sapien. Nulla finibus massa at viverra facilisis. Morbi finibus dui sed est fringilla ornare.",6.81
Martiño Arxíz,Galician,CQ56N9MH3WK7H5YQ,"Proin tempus eu risus nec mattis. Morbi vitae nisi lacinia, laoreet lorem nec, egestas orci. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Etiam consequat enim lorem, at tincidunt velit ultricies et. Nam rutrum sollicitudin ante tempus consequat. .",7.13
Malehumò Ledwaba,Sesotho sa Leboa,E4F3HGRTKQKCT1SE,"Ut accumsan, est vel fringilla varius, purus augue blandit nisl, eu rhoncus ligula purus vel dolor. Curabitur quis commodo quam. Quisque maximus sodales mauris ut elementum. Curabitur sed condimentum felis, ut luctus eros. Curabitur ultricies id urna nec ultrices.",6.52
Musa Yasin,Uyghur,1AF8GIQZ1LF8QW0U,"Phasellus tincidunt sollicitudin posuere. Phasellus massa ligula, hendrerit eget efficitur eget, tincidunt in ligula. Ut maximus, libero nec facilisis fringilla, ex sem sollicitudin leo, non congue tortor ligula in eros. Ut accumsan, est vel fringilla varius, purus augue blandit nisl, eu rhoncus ligula purus vel dolor.",1.54
Lajwanti Kumari,Sindhi,INRW3R54RAY7J9IS,"In sed ultricies lorem. Sed eu libero maximus nunc lacinia lobortis et sit amet nisi. Quisque mauris ligula, efficitur porttitor sodales ac, lacinia non ex. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",9.34
Maria Sammut,Maltese,BJRF0BWIHJ0Q12A1,Maecenas tempus neque ut porttitor malesuada. Curabitur ultricies id urna nec ultrices.,6.83
Rita Busuttil,Maltese,1QLMU6QZ7EYUNNZV,Phasellus tincidunt sollicitudin posuere. Quisque efficitur vel sapien ut imperdiet. Vestibulum pharetra libero et velit gravida euismod. Maecenas tempus neque ut porttitor malesuada.,2.09
Roi Fraguela,Galician,UAT0M2O42E9M4SFT,"Donec congue sapien vel euismod interdum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce congue aliquam elit ut luctus. Morbi ac tellus erat. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",1.08
Matome Molamo,Sesotho sa Leboa,7HI0UZZLRB9N5CBI,"Vestibulum pharetra libero et velit gravida euismod. Fusce eu ultrices elit, vel posuere neque. Duis pellentesque ultrices convallis.",9.55
Mapula Selokela,Sesotho sa Leboa,6ZQTOKQI6K82EE9Q,"Duis pellentesque ultrices convallis. Nam laoreet, nunc non suscipit interdum, justo turpis vestibulum massa, non vulputate ex urna at purus. Ut viverra quis eros eu tincidunt. Proin tempus eu risus nec mattis.",5.27
Noa Ervello,Galician,W9FR842CI16V8NU3,"Aliquam sollicitudin ante ligula, eget malesuada nibh efficitur et. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Etiam consequat enim lorem, at tincidunt velit ultricies et. Suspendisse sit amet ullamcorper sem. Quisque mauris ligula, efficitur porttitor sodales ac, lacinia non ex.",9.33
Naseem Kakepoto,Sindhi,6C7HZV4WPV9C9KS6,"Morbi ultricies consequat ligula posuere eleifend. Fusce congue aliquam elit ut luctus. . Phasellus massa ligula, hendrerit eget efficitur eget, tincidunt in ligula.",1.4
sayama Amir,Sindhi,7K4IJT1X7G0EK9WC,"Morbi ac tellus erat. Aliquam scelerisque pretium tellus, sed accumsan est ultrices id. Maecenas quis nisi nunc. Etiam congue dignissim volutpat. Sed nec suscipit ligula.",9.48
Mariña Quintá,Galician,7GXC4OQYXX5JJY9F,"Phasellus tincidunt sollicitudin posuere. Morbi ac tellus erat. Nullam ac sodales dolor, eu facilisis dui.",8.81
Memet Tursun,Uyghur,KSFMV2JK2D553083,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Etiam consequat enim lorem, at tincidunt velit ultricies et. Morbi finibus dui sed est fringilla ornare. Suspendisse sit amet ullamcorper sem.",7.56
Carmen Vella,Maltese,WUALBIMS4E8JS4L2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc aliquet sodales nunc a pulvinar. Morbi vitae nisi lacinia, laoreet lorem nec, egestas orci. Vestibulum pharetra libero et velit gravida euismod.",4.55
Sobia Khanam,Sindhi,YG1ERFWBJ7TIW35D,"Phasellus tincidunt sollicitudin posuere. Aliquam scelerisque pretium tellus, sed accumsan est ultrices id. Morbi ultricies consequat ligula posuere eleifend. Curabitur sed condimentum felis, ut luctus eros.",4.59
Raheela Ali,Sindhi,7JGX9SMLD5DE2IMG,Morbi finibus dui sed est fringilla ornare. Maecenas quis nisi nunc. Maecenas tempus neque ut porttitor malesuada. Curabitur ultricies id urna nec ultrices.,4.75
Rashid Rajput,Sindhi,UNBGUGDUATATCLS4,Donec congue sapien vel euismod interdum. Maecenas quis nisi nunc.,8.51
Uxía Feal,Galician,35ZPXUNH1M6W3ZJP,"Vestibulum pharetra libero et velit gravida euismod. Vivamus id faucibus velit, id posuere leo.",1.31
Andrew Fenech,Maltese,VEYKDKL8L0R0C7GQ,"In sed ultricies lorem. Etiam mauris magna, fermentum vitae aliquet eu, cursus vitae sapien. Sed laoreet posuere sapien, ut feugiat nibh gravida at.",2.5
Nicholas Micallef,Maltese,ZYCAI905154LSICR,Nam tristique feugiat est vitae mollis. Curabitur ultricies id urna nec ultrices. Morbi finibus dui sed est fringilla ornare.,6.47
Paul Borg,Maltese,8AD5MMJ0TD0NJ6H2,"Phasellus massa ligula, hendrerit eget efficitur eget, tincidunt in ligula. Etiam mauris magna, fermentum vitae aliquet eu, cursus vitae sapien.",3.77
Sara Saleem,Sindhi,5LPKMTZI7OPSJRBA,"Maecenas tempus neque ut porttitor malesuada. Etiam congue dignissim volutpat. Proin tempus eu risus nec mattis. Morbi vitae nisi lacinia, laoreet lorem nec, egestas orci. Duis commodo orci ut dolor iaculis facilisis.",5.31
Xurxo Golán,Galician,526ZUSGXEETODHJK,"Ut viverra quis eros eu tincidunt. Morbi finibus dui sed est fringilla ornare. Sed laoreet posuere sapien, ut feugiat nibh gravida at. Duis commodo orci ut dolor iaculis facilisis. In sed ultricies lorem.",1.75
Peter Zammit,Maltese,NNRT5QWNWO2WLS5V,Duis commodo orci ut dolor iaculis facilisis. Maecenas quis nisi nunc.,8.23
Maname Mohlare,Sesotho sa Leboa,KZJZ9SD0DIWTIBUC,"Quisque mauris ligula, efficitur porttitor sodales ac, lacinia non ex. Vestibulum pharetra libero et velit gravida euismod. Ut accumsan, est vel fringilla varius, purus augue blandit nisl, eu rhoncus ligula purus vel dolor. Sed eu libero maximus nunc lacinia lobortis et sit amet nisi.",8.95
Tshepè Mobu,Sesotho sa Leboa,8CH586LQR7ZCP73P,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nulla finibus massa at viverra facilisis.",7.82
Monica Lohana,Sindhi,KP1C2WN3DN1R3Y52,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Etiam consequat enim lorem, at tincidunt velit ultricies et. Aenean finibus in tortor vel aliquet. Nam laoreet, nunc non suscipit interdum, justo turpis vestibulum massa, non vulputate ex urna at purus. Morbi vitae nisi lacinia, laoreet lorem nec, egestas orci.",7.95
Patigul Rahman,Uyghur,NXMNLB0SOYET1VMN,"In sed ultricies lorem. Proin tempus eu risus nec mattis. Nam rutrum sollicitudin ante tempus consequat. Aliquam scelerisque pretium tellus, sed accumsan est ultrices id.",2.98
Joanne Scerri,Maltese,H8FJ2WKLGGF3K26U,"Fusce eu ultrices elit, vel posuere neque. Nulla finibus massa at viverra facilisis. Duis commodo orci ut dolor iaculis facilisis. Nam laoreet, nunc non suscipit interdum, justo turpis vestibulum massa, non vulputate ex urna at purus. Phasellus massa ligula, hendrerit eget efficitur eget, tincidunt in ligula.",8.4
Ratanang Maphutha,Sesotho sa Leboa,EZXJTQQ2JWPB5DI3,"Vivamus id faucibus velit, id posuere leo. Phasellus tincidunt sollicitudin posuere. Duis pellentesque ultrices convallis.",9.17
Kamil Mehmud,Uyghur,M24A9OMYPSX7FD16,"Donec congue sapien vel euismod interdum. Suspendisse potenti. In id elit malesuada, pulvinar mi eu, imperdiet nulla. Nunc aliquet sodales nunc a pulvinar. Ut viverra quis eros eu tincidunt.",4.66
Thobile Mbele,isiZulu,631M00M8YFFBC5NC,"Nunc aliquet sodales nunc a pulvinar. Proin tempus eu risus nec mattis. Proin tempus eu risus nec mattis. Aliquam scelerisque pretium tellus, sed accumsan est ultrices id. Nam laoreet, nunc non suscipit interdum, justo turpis vestibulum massa, non vulputate ex urna at purus.",8.96
Kristján Kristjánsson,Icelandic,0WT0ZW50DNSTCHKW,"Quisque maximus sodales mauris ut elementum. Pellentesque massa sem, scelerisque sit amet odio id, cursus tempor urna. Donec congue sapien vel euismod interdum. Phasellus massa ligula, hendrerit eget efficitur eget, tincidunt in ligula. Donec lobortis eleifend condimentum.",8.82
Stefán Stefánsson,Icelandic,1UOL8UK8BWAOSYTC,"Suspendisse potenti. Duis luctus, lacus eu aliquet convallis, purus elit malesuada ex, vitae rutrum ipsum dui ut magna. Morbi ultricies consequat ligula posuere eleifend.",7.87
Preeti Rajdan,Hindi,3UN0X88Y4WYH3X8X,"In sed ultricies lorem. Vivamus id faucibus velit, id posuere leo. Duis commodo orci ut dolor iaculis facilisis. Nam rutrum sollicitudin ante tempus consequat.",9.17
Sanjay Trivedi,Hindi,CPHR246457BD01KY,Quisque maximus sodales mauris ut elementum. Morbi ac tellus erat. Maecenas tempus neque ut porttitor malesuada. Cras dictum dolor lacinia lectus vehicula rutrum.,8.3
Smiriti Sisodiya,Hindi,X3KWIL5KEHTMCKOM,"Integer vehicula, arcu sit amet egestas efficitur, orci justo interdum massa, eget ullamcorper risus ligula tristique libero. Morbi finibus dui sed est fringilla ornare.",3.27
Sandeep Benarjee,Hindi,9TS6CIE3UAIFG2IB,"Aliquam sollicitudin ante ligula, eget malesuada nibh efficitur et. Sed nec suscipit ligula. Quisque efficitur vel sapien ut imperdiet. Suspendisse sit amet ullamcorper sem.",3.86
Damir Benic,Bosnian,QUNL9VBRHUGNOFMJ,". Ut dictum, ligula eget sagittis maximus, tellus mi varius ex, a accumsan justo tellus vitae leo.",9.56
Sigrún Kristjánsdóttir,Icelandic,BT1Q0NUPKHDVCFLE,"Ut dictum, ligula eget sagittis maximus, tellus mi varius ex, a accumsan justo tellus vitae leo. Nulla finibus massa at viverra facilisis.",6.78
Basetsana Thage,Setswana,R9P3P2IAN7NY2X2Y,"Pellentesque massa sem, scelerisque sit amet odio id, cursus tempor urna. Nulla finibus massa at viverra facilisis. Phasellus massa ligula, hendrerit eget efficitur eget, tincidunt in ligula.",3.97
Rajesh Santoshi,Hindi,OXQTFZHZW8SVE3SY,"Donec lobortis eleifend condimentum. Nam rutrum sollicitudin ante tempus consequat. Nullam sodales convallis mauris, sit amet lobortis magna auctor sit amet.",8.35
Margrét Magnúsdóttir,Icelandic,1P6VZEDGK2XUU97L,Sed eu libero maximus nunc lacinia lobortis et sit amet nisi. Duis pellentesque ultrices convallis. Donec lobortis eleifend condimentum.,3.76
